term,graph_cluster
CART (Classification and Regression Trees),2
Gini Impurity,2
Entropy,2
Pruning,2
tree_model,2
interpretable_model,2
k-Nearest Neighbors (k-NN),6
Distance Metrics,6
Lazy Learning,6
Decision Boundary,6
Curse of Dimensionality,6
Weighted kNN,6
instance_based_learning,6
non_parametric,6
Adaptive Machine Learning (Adaptive ML),14
Incremental Learning,14
Reinforcement Learning,17
real_time_learning,14
adaptive_systems,14
Explainable AI (XAI),16
Interpretability,16
Transparency,16
Post-hoc explanations,16
Ante-hoc (intrinsic) interpretable models,16
Saliency mapping,16
Counterfactual explanations,16
interpretability,16
transparency,16
model_explainability,16
trustworthy_AI,16
auditing,16
Bootstrap Aggregating (Bagging),2
Bootstrap Sampling,2
Variance,2
bagging,2
bootstrap,2
variance_reduction,2
Boosting,2
Stacking,2
Voting Classifier,2
Bootstrap Aggregating,2
ensemble_methods,2
boosting,2
Tournament Selection,7
Fitness Function,7
Lexicase Selection,7
Roulette Wheel Selection,7
Rank Selection,7
Elitism,7
evolutionary_algorithm,7
selection_method,7
genetic_algorithm,7
genetic_programming,7
fitness_based_selection,7
Parsimony Pressure,7
Bloat,7
Regularization,5
Minimum Description Length (MDL),7
Introns,7
bloat_control,7
model_complexity,7
Genetic Drift,7
Code Growth,7
overfitting,5
Underfitting,5
Generalization,5
Bias-Variance Trade-off,5
Model Complexity,5
model_evaluation,5
bias,5
generalization,5
training_error,5
bias_variance,5
machine_learning model_evaluation,5
underfitting,5
Test Error,5
generalization_error,5
Mutation,7
Crossover,7
Selection,7
Exploration vs. Exploitation,7
variation_operator,7
diversity,7
Mutation Selection,7
Subtree Crossover,7
Uniform Crossover,7
One-point Crossover,7
recombination,7
Fitness-Proportionate Selection,7
ε-Lexicase Selection,7
Down-Sampled Lexicase Selection,7
Pareto Selection,7
parent_selection,7
non_aggregate_selection,7
diversity_maintenance,7
Genetic Algorithm (GA),7
Genetic Programming (GP),7
Objective Function,7
Cost Function,7
Selection Methods (e.g.,7
Roulette Wheel),7
objective_function,7
Expression Tree,16
Abstract Syntax Tree,16
data_structure,16
symbolic_regression,16
compilers,16
AST,16
expression_parsing,16
Monte Carlo Tree Search (MCTS),17
Heuristic Search,17
UCT,17
Game Theory,17
search_algorithm,17
heuristic_search,17
game_ai,17
tree_search,17
Bayesian Symbolic Regression,16
Posterior Sampling,16
MCMC,16
SMC,16
Bayesian_methods,16
probabilistic_modeling,16
uncertainty_quantification,16
Service‑oriented Computing (SOC),13
Microservices,13
Enterprise Service Bus (ESB),13
Service Registry,13
Web Services,13
software_architecture,13
services,13
SOA,13
integration,13
Implicit Graphs,8
Graph Search,8
BFS,8
DFS,8
State‐Space Graphs,8
graph,8
implicit_representation,8
state_space,8
Depth First Search (DFS),8
Connected Components,8
Backtracking,8
graph_search,8
depth_first,8
traversal,8
stack,8
recursive,8
Breadth First Search (BFS),8
Depth First Search,8
Queue,8
breadth_first,8
shortest_path,8
Graph Connectivity,9
Connected Component,9
Vertex Cut,9
Edge Cut,9
k‑connected Graph,9
graph_theory,9
connectivity,9
resilience,9
network,9
Greedy Search (Greedy Algorithm),1
Dynamic Programming,1
Fractional Knapsack,1
Dijkstra’s Algorithm,1
heuristic,1
greedy,1
Traveling Salesman Problem (TSP),8
Hamiltonian Cycle,8
NP-hard Problems,8
Approximation Algorithms,8
Heuristics,8
Knapsack Problem,8
NP-hard,8
combinatorial_optimization,8
benchmark_problem,8
Breadth First Search,8
Shortest Path,8
Connectivity,8
Tabu Search,8
local_search,8
GloVe,20
Contextual Embeddings,20
Distributional Hypothesis,20
Representation Learning,20
Vector Semantics,20
NLP,11
Softmax Function,10
Cross-Entropy,10
Logits,10
Multinomial Logistic Regression,10
Probability,10
Neural Networks,10
Causal Mask,11
Self-Attention,11
Transformer,11
Masked Language Modeling,11
GPT,11
Attention Mechanism,11
Autoregressive,11
Language Modeling,11
Sequence-to-Sequence Model,11
Encoder,11
Decoder,11
Neural Machine Translation,11
Context Vector,11
Encoder–Decoder,11
Translation,11
Summarization,11
Speech-to-Text,11
Recurrent Neural Network (RNN),11
Backpropagation Through Time,11
Sequence-to-Sequence,11
Recurrent Architectures,11
Sequence Modeling,11
Time Series,11
Speech,11
Text,11
BLEU (Bilingual Evaluation Understudy),12
ROUGE,12
METEOR,12
SacreBLEU,12
N‑gram Overlap,12
Evaluation Metric,12
Machine Translation,12
WMT Translation Task,12
BLEU,12
Human Evaluation,12
Multilingual MT,12
Shared Task,12
Evaluation,12
NLP Benchmark,12
Random Forests,2
Model Aggregation,2
Robustness,2
NLP Methods,2
Constituency Parsing,11
Dependency Parsing,11
CFG,11
PCFG,11
CKY Algorithm,11
Syntax,11
Parsing,11
Tree-Structure,11
Hidden State,11
Encoder Hidden States,11
Attention Weights / Alignment Scores,11
Decoder Hidden State,11
Attention Mechanism (Bahdanau,11
Luong),11
Fixed-Length Representation,11
Attention,11
Seq2Seq,11
Encoders,11
Recurrence,11
Polynomial Time,11
Sequential Modeling,11
Time-Series,11
Convolutions,11
Local Patterns,11
Multi-Head Attention,11
Positional Encoding,11
BERT,11
Parallelism,11
Multi-head Attention,11
neural network,11
transformer,11
Milti-head Attention,11
